Plant Code,Utility Name,Plant Name,State,Latitude,Longitude,BA Code,BA Name,Fuel Type,Prime Mover,Net Generation (MWh)
1355,Kentucky Utilities Co,E W Brown,KY,37.78831,-84.71257,LGEE,Louisville Gas and Electric Company and Kentucky Utilities Company,BIT,ST,1779892.076
1355,Kentucky Utilities Co,E W Brown,KY,37.78831,-84.71257,LGEE,Louisville Gas and Electric Company and Kentucky Utilities Company,DFO,GT,294.158
1355,Kentucky Utilities Co,E W Brown,KY,37.78831,-84.71257,LGEE,Louisville Gas and Electric Company and Kentucky Utilities Company,DFO,ST,5027.93
1355,Kentucky Utilities Co,E W Brown,KY,37.78831,-84.71257,LGEE,Louisville Gas and Electric Company and Kentucky Utilities Company,NG,GT,110239.842
1355,Kentucky Utilities Co,E W Brown,KY,37.78831,-84.71257,LGEE,Louisville Gas and Electric Company and Kentucky Utilities Company,SUN,PV,32822.0
1356,Kentucky Utilities Co,Ghent,KY,38.7497,-85.035,LGEE,Louisville Gas and Electric Company and Kentucky Utilities Company,BIT,ST,19523281.34
1356,Kentucky Utilities Co,Ghent,KY,38.7497,-85.035,LGEE,Louisville Gas and Electric Company and Kentucky Utilities Company,DFO,ST,20434.564
1356,Kentucky Utilities Co,Ghent,KY,38.7497,-85.035,LGEE,Louisville Gas and Electric Company and Kentucky Utilities Company,RC,ST,0.0
1356,Kentucky Utilities Co,Ghent,KY,38.7497,-85.035,LGEE,Louisville Gas and Electric Company and Kentucky Utilities Company,SUB,ST,0.0
1357,Kentucky Utilities Co,Green River,KY,37.3636,-87.1214,LGEE,Louisville Gas and Electric Company and Kentucky Utilities Company,,,
1358,Kentucky Utilities Co,Haefling,KY,38.0794,-84.5194,LGEE,Louisville Gas and Electric Company and Kentucky Utilities Company,DFO,GT,0.0
1358,Kentucky Utilities Co,Haefling,KY,38.0794,-84.5194,LGEE,Louisville Gas and Electric Company and Kentucky Utilities Company,NG,GT,-382.0
1359,Lock 7 Hydro Partners LLC,Mother Ann Lee,KY,37.8297,-84.7247,PJM,"PJM Interconnection, LLC",WAT,HY,12392.0
1360,Kentucky Utilities Co,Pineville,KY,36.796667,-83.761388,,,,,
1361,Kentucky Utilities Co,Tyrone,KY,38.0478,-84.8483,LGEE,Louisville Gas and Electric Company and Kentucky Utilities Company,,,
1363,Louisville Gas & Electric Co,Cane Run,KY,38.1831,-85.8892,LGEE,Louisville Gas and Electric Company and Kentucky Utilities Company,DFO,GT,0.0
1363,Louisville Gas & Electric Co,Cane Run,KY,38.1831,-85.8892,LGEE,Louisville Gas and Electric Company and Kentucky Utilities Company,NG,CA,3491804.0
1363,Louisville Gas & Electric Co,Cane Run,KY,38.1831,-85.8892,LGEE,Louisville Gas and Electric Company and Kentucky Utilities Company,NG,CT,6239214.0
1363,Louisville Gas & Electric Co,Cane Run,KY,38.1831,-85.8892,LGEE,Louisville Gas and Electric Company and Kentucky Utilities Company,NG,GT,0.0
